N;ID;Обменник;Город на направлении;Статус;Резервы;Резервы, USD;Резерв BTC на направлении;;Источник направления;https://www.bestchange.net/cash-ruble-to-bitcoin.html
1;1421;System;Санкт-Петербурге;Работает;$23 283 633;23283633;28,384;;Источник резервов;https://www.bestchange.net/list.html
2;382;City-Exchange;Москве;Работает;$37 524 164;37524164;40;;Собрано строк;73
3;539;NewLine;Москве;Работает;$84 477 953;84477953;406,9648;;Найдено в общем списке;73
4;659;1-Online;Москве;Работает;$78 386 971;78386971;150;;Дата выгрузки;46150,38033
5;615;Pocket-Exchange;Москве;Работает;$104 259 038;104259038;22,4115;;;
6;1186;Nadex;Москве;Работает;$197 595 717;197595717;84;;;
7;1055;Finex24;Москве;Работает;$278 624 232;278624232;68,6436;;;
8;1364;Moscoin;Москве;Работает;$3 804 579;3804579;2,1711;;;
9;1202;Лимончик;Москве;Работает;$17 637 156;17637156;5;;;
10;654;Ru-Bas;Москве;Работает;$3 579 575;3579575;18,5316;;;
11;969;4Money;Новосибирске;Работает;$14 128 998;14128998;28,4;;;
12;668;MyCryptoMarket;Новосибирске;Работает;$2 014 788;2014788;10;;;
13;1128;BTchange;Санкт-Петербурге;Работает;$17 635 758;17635758;30;;;
14;738;HASchange;Санкт-Петербурге;Работает;$61 232 510;61232510;224;;;
15;1115;CriptHub;Москве;Работает;$93 236 322;93236322;7;;;
16;1251;GreenEX;Санкт-Петербурге;Работает;$27 142 128;27142128;35;;;
17;1259;CryptoYes;Санкт-Петербурге;Работает;$24 815 851;24815851;10;;;
18;1352;GoldenGate;Москве;Работает;$315 874 194;315874194;104,2325;;;
19;1434;Yzex;Санкт-Петербурге;Работает;$132 560 488;132560488;77;;;
20;1144;LetsChange;Анапе;Работает;$278 004 116;278004116;121,4519;;;
21;1159;InstaCrypt;Ростове-на-Дону;Работает;$9 058 431;9058431;28,9017;;;
22;1265;MultiKassa;Санкт-Петербурге;Работает;$422 057 911;422057911;0,05;;;
23;1114;YesObmen;Санкт-Петербурге;Работает;$64 710 314;64710314;30;;;
24;1137;Пандпэй;Москве;Работает;$57 274 517;57274517;12,9946;;;
25;1309;StoreBucks;Москве;Работает;$1 387 610 073;1387610073;400;;;
26;565;Transfer24;Москве;Работает;$31 944 551;31944551;107,1949;;;
27;956;Обменко;Санкт-Петербурге;Работает;$116 216 393;116216393;50;;;
28;1095;YaObmen;Москве;Работает;$17 320 607;17320607;55,3904;;;
29;1275;Стрела;Новороссийске;Работает;$304 633 509;304633509;20,7217;;;
30;1355;Bakster;Санкт-Петербурге;Работает;$115 459 591;115459591;114;;;
31;1492;SafExchangePro;Екатеринбурге;Работает;$66 461 398;66461398;12,6954;;;
32;1013;AvanChange;Санкт-Петербурге;Работает;$110 340 302;110340302;14,96;;;
33;1147;ГоугоуБит;Екатеринбурге;Работает;$4 452 264;4452264;10;;;
34;1027;Nordex;Санкт-Петербурге;Работает;$53 238 122;53238122;35;;;
35;1292;ChangeExpert;Казани;Работает;$225 595 750;225595750;749,6261;;;
36;1071;CoinDrop;Екатеринбурге;Работает;$55 165 507;55165507;2;;;
37;1284;Рекс;Москве;Работает;$2 337 323;2337323;10;;;
38;447;SpbWMCasher;Санкт-Петербурге;Работает;$16 271 588;16271588;19,2401;;;
39;840;YoChange;Санкт-Петербурге;Работает;$19 461 143;19461143;10;;;
40;1423;BullsChange;Санкт-Петербурге;Работает;$107 908 503;107908503;40;;;
41;1346;Терминал;Екатеринбурге;Работает;$15 690 480;15690480;7,0119;;;
42;1180;Мытнинский;Екатеринбурге;Работает;$50 954 084;50954084;13,1394;;;
43;989;CoinsBlack;Екатеринбурге;Работает;$103 399 912;103399912;14,4534;;;
44;1106;NiceObmen;Москве;Работает;$117 267 840;117267840;10;;;
45;607;60сек;Москве;Работает;$315 081 310;315081310;63;;;
46;976;ChangeProject;Санкт-Петербурге;Работает;$100 515 141;100515141;19,3631;;;
47;641;MarketCoin;Екатеринбурге;Работает;$409 605 465;409605465;500;;;
48;544;Банкомат;Калининграде;Работает;$88 016 527;88016527;147;;;
49;633;YChanger;Москве;Работает;$204 747 805;204747805;25;;;
50;888;GramBit;Екатеринбурге;Работает;$136 285 407;136285407;14,3503;;;
51;1096;BTCWorm;Москве;Работает;$250 161 194;250161194;288;;;
52;1100;CoolCoin;Екатеринбурге;Работает;$151 564 546;151564546;21,996;;;
53;90;Ex-Money;Москве;Работает;$195 921 765;195921765;25;;;
54;517;BaksMan;Тюмени;Работает;$61 235 609;61235609;53;;;
55;1049;BlaBlaMoney;Тюмени;Работает;$926 359 526;926359526;626;;;
56;622;ProstovCash;Тюмени;Работает;$2 208 354 517;2208354517;1001;;;
57;417;24PayBank;Тюмени;Работает;$1 053 404 799;1053404799;1001;;;
58;1103;CrystalMoney;Тюмени;Работает;$1 546 735 511;1546735511;1002;;;
59;1112;BTCRotor;Москве;Работает;$142 507 114;142507114;63;;;
60;929;RoyalCash;Тюмени;Работает;$1 416 968 696;1416968696;313;;;
61;752;24ExPay;Казани;Работает;$26 920 598;26920598;30,0673;;;
62;184;Xchange;Тюмени;Работает;$2 201 198 750;2201198750;877;;;
63;764;NicexChanger;Москве;Работает;$111 133 713;111133713;184;;;
64;1386;MoonLight;Чебоксарах;Работает;$43 360 822;43360822;15;;;
65;948;AbcObmen;Москве;Работает;$406 393 615;406393615;304;;;
66;954;E-Change;Краснодаре;Работает;$70 538 538;70538538;15,5736;;;
67;1070;Монеткинс;Тюмени;Работает;$80 901 093;80901093;43;;;
68;1225;EasySwap;Тюмени;Работает;$99 595 470;99595470;47;;;
69;580;4ange;Чебоксарах;Работает;$227 498 684;227498684;401;;;
70;1098;CashBox;Санкт-Петербурге;Работает;$16 670 961;16670961;19,24;;;
71;274;MultiXchange;Москве;Работает;$163 016 468;163016468;142;;;
72;1139;ПоТеме;Санкт-Петербурге;Работает;$103 195 227;103195227;392,7836;;;
73;490;O-Paxum;Екатеринбурге;Работает;$14 749 924;14749924;5,2081;;;
;;;;;0,00 _;;;;;