,Сроки к 12.01,Сроки к 02.03,Сроки к 01.04,Комментарий
0.2.0,,,,
NCCPRD-668 NCC Android.Поддержка html-форматирования,02.02.2026,06.03,закрыта 06.03,
0.3.0,,,,
NCCPRD-692 NCC Android. SDK2. Панель ввода сообщения. Push уведомления. Дополнительные атрибуты,24.02.2026,закрыта 04.02,закрыта 04.02,
NCCPRD-684 NCC Android. SDK2. Отображение профиля оператора,24.02.2026,03.03,закрыта 05.03,
NCCPRD-682 NCC Android. SDK2. Панель навигации,24.02.2026,11.03,закрыта 23.03,
NCCPRD-676 NCC Android. SDK2. Отображение вложений в сообщениях,24.02.2026,26.03,закрыта 31.03,
0.4.0,,,,
NCCPRD-678 NCC Android. SDK2. События чата,16.03.2026,13.03,08.04,
NCCPRD-680 NCC Android. SDK2. Скролл + Счетчик сообщений,16.03.2026,08.04,17.04,
NCCPRD-674 NCC Android. SDK2. Добавление вложений,16.03.2026,27.03,17.04,
NCCPRD-671 NCC Android. SDK2. Цитирование,16.03.2026,15.04,06.05,Вынесли в последний релиз
0.5.0,,,,
NCCPRD-690 NCC Android. SDK2. Поддержка кнопок в сообщении,06.04.2026,26.03,10.04,
NCCPRD-669 NCC Android. SDK2. Блокировка чата,06.04.2026,,24.04,Вынесли в последний релиз